2022-04-21 01:55:57,013 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR100', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=1000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=8.0)
2022-04-21 01:56:00,484 DEBUG Test (client-0):	Loss 0.6165 (0.3623)	Prec@1 81.250 (91.890)
2022-04-21 01:56:00,484 DEBUG  * Prec@1 91.890
2022-04-21 01:56:00,490 DEBUG load 0.weight to surrogate
2022-04-21 01:56:00,490 DEBUG load 0.bias to surrogate
2022-04-21 01:56:00,491 DEBUG load 1.weight to surrogate
2022-04-21 01:56:00,491 DEBUG load 1.bias to surrogate
2022-04-21 01:56:00,491 DEBUG load 1.running_mean to surrogate
2022-04-21 01:56:00,491 DEBUG load 1.running_var to surrogate
2022-04-21 01:56:00,491 DEBUG load 1.num_batches_tracked to surrogate
2022-04-21 01:56:00,496 DEBUG 20
2022-04-21 01:56:00,496 DEBUG 26
2022-04-21 01:56:00,496 DEBUG surrogate parameter has 26 trainable parameters!
2022-04-21 01:56:03,561 DEBUG epoch: 0, val_acc: 8.63
2022-04-21 01:56:04,539 DEBUG epoch: 1, train_acc: 0.0, val_acc: 8.65, acc_loss: 0.0, grad_loss: 4.033647680282593
2022-04-21 01:56:05,538 DEBUG epoch: 2, train_acc: 0.0, val_acc: 8.74, acc_loss: 0.0, grad_loss: 4.033640503883362
2022-04-21 01:56:06,512 DEBUG epoch: 3, train_acc: 0.0, val_acc: 8.88, acc_loss: 0.0, grad_loss: 4.033634352684021
2022-04-21 01:56:07,492 DEBUG epoch: 4, train_acc: 0.0, val_acc: 9.08, acc_loss: 0.0, grad_loss: 4.033627319335937
2022-04-21 01:56:08,480 DEBUG epoch: 5, train_acc: 0.0, val_acc: 9.21, acc_loss: 0.0, grad_loss: 4.0336191892623905
2022-04-21 01:56:09,459 DEBUG epoch: 6, train_acc: 0.0, val_acc: 9.35, acc_loss: 0.0, grad_loss: 4.033610057830811
2022-04-21 01:56:10,432 DEBUG epoch: 7, train_acc: 0.0, val_acc: 9.4, acc_loss: 0.0, grad_loss: 4.033603096008301
2022-04-21 01:56:11,450 DEBUG epoch: 8, train_acc: 0.0, val_acc: 9.54, acc_loss: 0.0, grad_loss: 4.033597016334534
2022-04-21 01:56:12,412 DEBUG epoch: 9, train_acc: 0.0, val_acc: 9.64, acc_loss: 0.0, grad_loss: 4.033590936660767
2022-04-21 01:56:13,382 DEBUG epoch: 10, train_acc: 0.0, val_acc: 9.68, acc_loss: 0.0, grad_loss: 4.033586406707764
2022-04-21 01:56:14,354 DEBUG epoch: 11, train_acc: 0.0, val_acc: 9.77, acc_loss: 0.0, grad_loss: 4.0335819005966185
2022-04-21 01:56:15,329 DEBUG epoch: 12, train_acc: 0.0, val_acc: 9.78, acc_loss: 0.0, grad_loss: 4.033578896522522
2022-04-21 01:56:16,303 DEBUG epoch: 13, train_acc: 0.0, val_acc: 9.78, acc_loss: 0.0, grad_loss: 4.033573794364929
2022-04-21 01:56:17,261 DEBUG epoch: 14, train_acc: 0.0, val_acc: 9.84, acc_loss: 0.0, grad_loss: 4.033569741249084
2022-04-21 01:56:18,256 DEBUG epoch: 15, train_acc: 0.0, val_acc: 9.89, acc_loss: 0.0, grad_loss: 4.033566093444824
2022-04-21 01:56:19,260 DEBUG epoch: 16, train_acc: 0.0, val_acc: 9.89, acc_loss: 0.0, grad_loss: 4.033562803268433
2022-04-21 01:56:20,230 DEBUG epoch: 17, train_acc: 0.0, val_acc: 9.87, acc_loss: 0.0, grad_loss: 4.033559656143188
2022-04-21 01:56:21,214 DEBUG epoch: 18, train_acc: 0.0, val_acc: 9.88, acc_loss: 0.0, grad_loss: 4.0335567712783815
2022-04-21 01:56:22,181 DEBUG epoch: 19, train_acc: 0.0, val_acc: 9.9, acc_loss: 0.0, grad_loss: 4.033554148674011
2022-04-21 01:56:23,125 DEBUG epoch: 20, train_acc: 0.0, val_acc: 9.9, acc_loss: 0.0, grad_loss: 4.033551335334778
2022-04-21 01:56:24,098 DEBUG epoch: 21, train_acc: 0.0, val_acc: 9.9, acc_loss: 0.0, grad_loss: 4.0335489273071286
2022-04-21 01:56:25,094 DEBUG epoch: 22, train_acc: 0.0, val_acc: 9.9, acc_loss: 0.0, grad_loss: 4.033546185493469
2022-04-21 01:56:26,099 DEBUG epoch: 23, train_acc: 0.0, val_acc: 9.9, acc_loss: 0.0, grad_loss: 4.033544135093689
2022-04-21 01:56:27,071 DEBUG epoch: 24, train_acc: 0.0, val_acc: 9.91, acc_loss: 0.0, grad_loss: 4.033542585372925
2022-04-21 01:56:28,062 DEBUG epoch: 25, train_acc: 0.0, val_acc: 9.93, acc_loss: 0.0, grad_loss: 4.033540821075439
2022-04-21 01:56:29,045 DEBUG epoch: 26, train_acc: 0.0, val_acc: 9.94, acc_loss: 0.0, grad_loss: 4.033539223670959
2022-04-21 01:56:30,010 DEBUG epoch: 27, train_acc: 0.0, val_acc: 9.95, acc_loss: 0.0, grad_loss: 4.033538031578064
2022-04-21 01:56:30,969 DEBUG epoch: 28, train_acc: 0.0, val_acc: 9.97, acc_loss: 0.0, grad_loss: 4.033536100387574
2022-04-21 01:56:31,964 DEBUG epoch: 29, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033535432815552
2022-04-21 01:56:32,927 DEBUG epoch: 30, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033534240722656
2022-04-21 01:56:33,891 DEBUG epoch: 31, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033533120155335
2022-04-21 01:56:34,859 DEBUG epoch: 32, train_acc: 0.0, val_acc: 9.98, acc_loss: 0.0, grad_loss: 4.033532238006591
2022-04-21 01:56:35,873 DEBUG epoch: 33, train_acc: 0.0, val_acc: 9.98, acc_loss: 0.0, grad_loss: 4.033531713485718
2022-04-21 01:56:36,835 DEBUG epoch: 34, train_acc: 0.0, val_acc: 9.98, acc_loss: 0.0, grad_loss: 4.0335307121276855
2022-04-21 01:56:37,818 DEBUG epoch: 35, train_acc: 0.0, val_acc: 9.98, acc_loss: 0.0, grad_loss: 4.033529782295227
2022-04-21 01:56:38,815 DEBUG epoch: 36, train_acc: 0.0, val_acc: 9.98, acc_loss: 0.0, grad_loss: 4.033529543876648
2022-04-21 01:56:39,799 DEBUG epoch: 37, train_acc: 0.0, val_acc: 9.98, acc_loss: 0.0, grad_loss: 4.033528828620911
2022-04-21 01:56:40,791 DEBUG epoch: 38, train_acc: 0.0, val_acc: 9.98, acc_loss: 0.0, grad_loss: 4.0335280418396
2022-04-21 01:56:41,764 DEBUG epoch: 39, train_acc: 0.0, val_acc: 9.98, acc_loss: 0.0, grad_loss: 4.033527827262878
2022-04-21 01:56:42,753 DEBUG epoch: 40, train_acc: 0.0, val_acc: 9.98, acc_loss: 0.0, grad_loss: 4.0335273265838625
2022-04-21 01:56:43,713 DEBUG epoch: 41, train_acc: 0.0, val_acc: 9.98, acc_loss: 0.0, grad_loss: 4.03352689743042
2022-04-21 01:56:44,685 DEBUG epoch: 42, train_acc: 0.0, val_acc: 9.98, acc_loss: 0.0, grad_loss: 4.033526587486267
2022-04-21 01:56:45,667 DEBUG epoch: 43, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033526158332824
2022-04-21 01:56:46,661 DEBUG epoch: 44, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525919914245
2022-04-21 01:56:47,646 DEBUG epoch: 45, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.03352575302124
2022-04-21 01:56:48,644 DEBUG epoch: 46, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525705337524
2022-04-21 01:56:49,661 DEBUG epoch: 47, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525443077087
2022-04-21 01:56:50,636 DEBUG epoch: 48, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.03352541923523
2022-04-21 01:56:51,610 DEBUG epoch: 49, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.03352541923523
2022-04-21 01:56:52,565 DEBUG epoch: 50, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525013923645
2022-04-21 01:56:53,564 DEBUG epoch: 51, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525013923645
2022-04-21 01:56:54,554 DEBUG epoch: 52, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525085449218
2022-04-21 01:56:55,543 DEBUG epoch: 53, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525013923645
2022-04-21 01:56:56,544 DEBUG epoch: 54, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525133132935
2022-04-21 01:56:57,525 DEBUG epoch: 55, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525109291077
2022-04-21 01:56:58,497 DEBUG epoch: 56, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525109291077
2022-04-21 01:56:59,448 DEBUG epoch: 57, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525371551514
2022-04-21 01:57:00,434 DEBUG epoch: 58, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525490760804
2022-04-21 01:57:01,391 DEBUG epoch: 59, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525466918945
2022-04-21 01:57:02,348 DEBUG epoch: 60, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.03352541923523
2022-04-21 01:57:03,346 DEBUG epoch: 61, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525371551514
2022-04-21 01:57:04,350 DEBUG epoch: 62, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525347709656
2022-04-21 01:57:05,324 DEBUG epoch: 63, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525443077087
2022-04-21 01:57:06,284 DEBUG epoch: 64, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.0335253238677975
2022-04-21 01:57:07,278 DEBUG epoch: 65, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525466918945
2022-04-21 01:57:08,261 DEBUG epoch: 66, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525395393371
2022-04-21 01:57:09,254 DEBUG epoch: 67, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525371551514
2022-04-21 01:57:10,239 DEBUG epoch: 68, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525466918945
2022-04-21 01:57:11,191 DEBUG epoch: 69, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525562286377
2022-04-21 01:57:12,166 DEBUG epoch: 70, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525681495666
2022-04-21 01:57:13,147 DEBUG epoch: 71, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525562286377
2022-04-21 01:57:14,129 DEBUG epoch: 72, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525562286377
2022-04-21 01:57:15,105 DEBUG epoch: 73, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525705337524
2022-04-21 01:57:16,107 DEBUG epoch: 74, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525586128235
2022-04-21 01:57:17,085 DEBUG epoch: 75, train_acc: 0.0, val_acc: 9.99, acc_loss: 0.0, grad_loss: 4.033525657653809
