2022-04-27 04:41:24,562 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_SVHN', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar100', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar100_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.005, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=1000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=5.0)
2022-04-27 04:41:29,747 DEBUG Test (client-0):	Loss 1.2311 (1.7817)	Prec@1 75.000 (68.630)
2022-04-27 04:41:29,747 DEBUG  * Prec@1 68.630
2022-04-27 04:41:29,871 DEBUG 14
2022-04-27 04:41:29,871 DEBUG surrogate parameter has 14 trainable parameters!
2022-04-27 04:41:38,941 DEBUG epoch: 0, val_acc: 0.99, val_fidelity: 0.94
2022-04-27 04:41:43,414 DEBUG epoch: 1, train_acc: 0.0, val_acc: 1.1, fidel_score: 1.12, acc_loss: 0.0, grad_loss: 19.395099398456043
2022-04-27 04:41:48,226 DEBUG epoch: 2, train_acc: 0.0, val_acc: 1.1, fidel_score: 1.19, acc_loss: 0.0, grad_loss: 19.077319181418115
2022-04-27 04:41:52,448 DEBUG epoch: 3, train_acc: 0.0, val_acc: 1.29, fidel_score: 1.28, acc_loss: 0.0, grad_loss: 19.035003806971297
2022-04-27 04:41:55,924 DEBUG epoch: 4, train_acc: 0.0, val_acc: 1.11, fidel_score: 1.03, acc_loss: 0.0, grad_loss: 19.005230263818667
2022-04-27 04:41:59,672 DEBUG epoch: 5, train_acc: 0.0, val_acc: 1.27, fidel_score: 1.17, acc_loss: 0.0, grad_loss: 19.009820068938822
2022-04-27 04:42:04,165 DEBUG epoch: 6, train_acc: 0.0, val_acc: 1.15, fidel_score: 1.17, acc_loss: 0.0, grad_loss: 19.016255608087853
2022-04-27 04:42:08,941 DEBUG epoch: 7, train_acc: 0.0, val_acc: 1.05, fidel_score: 1.03, acc_loss: 0.0, grad_loss: 19.017741505103775
2022-04-27 04:42:13,470 DEBUG epoch: 8, train_acc: 0.0, val_acc: 1.13, fidel_score: 1.34, acc_loss: 0.0, grad_loss: 19.03576363189311
2022-04-27 04:42:17,470 DEBUG epoch: 9, train_acc: 0.0, val_acc: 1.16, fidel_score: 1.39, acc_loss: 0.0, grad_loss: 19.01271851455109
2022-04-27 04:42:21,314 DEBUG epoch: 10, train_acc: 0.0, val_acc: 1.05, fidel_score: 1.21, acc_loss: 0.0, grad_loss: 18.9991846205313
2022-04-27 04:42:24,895 DEBUG epoch: 11, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.24, acc_loss: 0.0, grad_loss: 19.01553470273561
2022-04-27 04:42:29,487 DEBUG epoch: 12, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.24, acc_loss: 0.0, grad_loss: 18.971734686742856
2022-04-27 04:42:34,198 DEBUG epoch: 13, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.24, acc_loss: 0.0, grad_loss: 18.947346288946612
2022-04-27 04:42:38,696 DEBUG epoch: 14, train_acc: 0.0, val_acc: 1.06, fidel_score: 1.28, acc_loss: 0.0, grad_loss: 18.840753989883616
2022-04-27 04:42:42,470 DEBUG epoch: 15, train_acc: 0.0, val_acc: 1.17, fidel_score: 1.08, acc_loss: 0.0, grad_loss: 18.96588330329219
2022-04-27 04:42:46,424 DEBUG epoch: 16, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.24, acc_loss: 0.0, grad_loss: 18.9438760008993
2022-04-27 04:42:49,863 DEBUG epoch: 17, train_acc: 0.0, val_acc: 1.03, fidel_score: 1.25, acc_loss: 0.0, grad_loss: 18.851887811588334
2022-04-27 04:42:54,521 DEBUG epoch: 18, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.24, acc_loss: 0.0, grad_loss: 18.95638306533234
2022-04-27 04:42:59,207 DEBUG epoch: 19, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.24, acc_loss: 0.0, grad_loss: 18.856430850451506
2022-04-27 04:43:03,750 DEBUG epoch: 20, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.26, acc_loss: 0.0, grad_loss: 18.81879019435448
2022-04-27 04:43:07,496 DEBUG epoch: 21, train_acc: 0.0, val_acc: 0.99, fidel_score: 1.23, acc_loss: 0.0, grad_loss: 18.770075278946116
2022-04-27 04:43:11,470 DEBUG epoch: 22, train_acc: 0.0, val_acc: 1.02, fidel_score: 1.2, acc_loss: 0.0, grad_loss: 18.548445544665373
2022-04-27 04:43:15,505 DEBUG epoch: 23, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.25, acc_loss: 0.0, grad_loss: 18.423300441307358
2022-04-27 04:43:19,981 DEBUG epoch: 24, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.24, acc_loss: 0.0, grad_loss: 18.833889973314502
2022-04-27 04:43:23,386 DEBUG epoch: 25, train_acc: 0.0, val_acc: 1.0, fidel_score: 1.24, acc_loss: 0.0, grad_loss: 18.902315815792807
