2022-04-27 07:00:44,754 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR10', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar100', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar100_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.005, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=1000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=4.0)
2022-04-27 07:00:49,896 DEBUG Test (client-0):	Loss 1.2311 (1.7817)	Prec@1 75.000 (68.630)
2022-04-27 07:00:49,897 DEBUG  * Prec@1 68.630
2022-04-27 07:00:49,994 DEBUG 10
2022-04-27 07:00:49,994 DEBUG surrogate parameter has 10 trainable parameters!
2022-04-27 07:00:57,630 DEBUG epoch: 0, val_acc: 1.05, val_fidelity: 0.99
2022-04-27 07:01:02,218 DEBUG epoch: 1, train_acc: 0.0, val_acc: 1.21, fidel_score: 1.35, acc_loss: 0.0, grad_loss: 21.365738349624827
2022-04-27 07:01:06,637 DEBUG epoch: 2, train_acc: 0.0, val_acc: 1.97, fidel_score: 2.13, acc_loss: 0.0, grad_loss: 19.900811448881896
2022-04-27 07:01:10,293 DEBUG epoch: 3, train_acc: 0.0, val_acc: 2.43, fidel_score: 2.49, acc_loss: 0.0, grad_loss: 19.782120571860784
2022-04-27 07:01:14,096 DEBUG epoch: 4, train_acc: 0.0, val_acc: 1.56, fidel_score: 1.69, acc_loss: 0.0, grad_loss: 19.581778248654135
2022-04-27 07:01:17,678 DEBUG epoch: 5, train_acc: 0.0, val_acc: 2.8, fidel_score: 2.95, acc_loss: 0.0, grad_loss: 19.486356904235066
2022-04-27 07:01:22,087 DEBUG epoch: 6, train_acc: 0.0, val_acc: 2.07, fidel_score: 2.27, acc_loss: 0.0, grad_loss: 19.252734606779075
2022-04-27 07:01:26,716 DEBUG epoch: 7, train_acc: 0.0, val_acc: 2.57, fidel_score: 2.95, acc_loss: 0.0, grad_loss: 19.260015656676472
2022-04-27 07:01:31,103 DEBUG epoch: 8, train_acc: 0.0, val_acc: 2.71, fidel_score: 2.82, acc_loss: 0.0, grad_loss: 19.153502307360686
2022-04-27 07:01:34,698 DEBUG epoch: 9, train_acc: 0.0, val_acc: 1.95, fidel_score: 2.13, acc_loss: 0.0, grad_loss: 19.155174448520324
2022-04-27 07:01:38,558 DEBUG epoch: 10, train_acc: 0.0, val_acc: 2.23, fidel_score: 2.48, acc_loss: 0.0, grad_loss: 19.26842339431183
2022-04-27 07:01:42,124 DEBUG epoch: 11, train_acc: 0.0, val_acc: 2.13, fidel_score: 2.2, acc_loss: 0.0, grad_loss: 19.0970458984375
2022-04-27 07:01:46,505 DEBUG epoch: 12, train_acc: 0.0, val_acc: 2.61, fidel_score: 2.73, acc_loss: 0.0, grad_loss: 18.83134994023963
2022-04-27 07:01:51,111 DEBUG epoch: 13, train_acc: 0.0, val_acc: 2.23, fidel_score: 2.5, acc_loss: 0.0, grad_loss: 19.383138535897942
2022-04-27 07:01:55,760 DEBUG epoch: 14, train_acc: 0.0, val_acc: 1.28, fidel_score: 1.36, acc_loss: 0.0, grad_loss: 18.885142169421233
2022-04-27 07:01:59,260 DEBUG epoch: 15, train_acc: 0.0, val_acc: 1.73, fidel_score: 1.86, acc_loss: 0.0, grad_loss: 18.767924417423295
2022-04-27 07:02:02,844 DEBUG epoch: 16, train_acc: 0.0, val_acc: 2.47, fidel_score: 2.76, acc_loss: 0.0, grad_loss: 18.824903850313984
2022-04-27 07:02:06,559 DEBUG epoch: 17, train_acc: 0.0, val_acc: 3.06, fidel_score: 3.66, acc_loss: 0.0, grad_loss: 18.39175311221352
2022-04-27 07:02:10,982 DEBUG epoch: 18, train_acc: 0.0, val_acc: 4.51, fidel_score: 4.85, acc_loss: 0.0, grad_loss: 18.36983202680757
2022-04-27 07:02:15,649 DEBUG epoch: 19, train_acc: 0.0, val_acc: 1.94, fidel_score: 1.89, acc_loss: 0.0, grad_loss: 18.453168796587594
2022-04-27 07:02:20,234 DEBUG epoch: 20, train_acc: 0.0, val_acc: 2.01, fidel_score: 2.25, acc_loss: 0.0, grad_loss: 18.55480544174774
2022-04-27 07:02:23,654 DEBUG epoch: 21, train_acc: 0.0, val_acc: 4.89, fidel_score: 5.49, acc_loss: 0.0, grad_loss: 18.48140617563755
2022-04-27 07:02:27,352 DEBUG epoch: 22, train_acc: 0.0, val_acc: 4.41, fidel_score: 4.97, acc_loss: 0.0, grad_loss: 18.43136541149284
2022-04-27 07:02:31,062 DEBUG epoch: 23, train_acc: 0.0, val_acc: 4.5, fidel_score: 5.34, acc_loss: 0.0, grad_loss: 18.55029661444169
2022-04-27 07:02:35,651 DEBUG epoch: 24, train_acc: 0.0, val_acc: 3.54, fidel_score: 4.22, acc_loss: 0.0, grad_loss: 18.256205305268494
2022-04-27 07:02:40,102 DEBUG epoch: 25, train_acc: 0.0, val_acc: 4.12, fidel_score: 4.7, acc_loss: 0.0, grad_loss: 18.63985636264463
2022-04-27 07:02:44,745 DEBUG epoch: 26, train_acc: 0.0, val_acc: 3.96, fidel_score: 4.53, acc_loss: 0.0, grad_loss: 18.346110597441466
2022-04-27 07:02:48,419 DEBUG epoch: 27, train_acc: 0.0, val_acc: 3.55, fidel_score: 4.18, acc_loss: 0.0, grad_loss: 18.19770448419112
2022-04-27 07:02:52,168 DEBUG epoch: 28, train_acc: 0.0, val_acc: 3.34, fidel_score: 3.8, acc_loss: 0.0, grad_loss: 18.58379796185071
2022-04-27 07:02:55,172 DEBUG epoch: 29, train_acc: 0.0, val_acc: 3.67, fidel_score: 4.31, acc_loss: 0.0, grad_loss: 18.454439332213582
2022-04-27 07:02:57,921 DEBUG epoch: 30, train_acc: 0.0, val_acc: 3.39, fidel_score: 3.63, acc_loss: 0.0, grad_loss: 18.514852403085442
2022-04-27 07:03:01,031 DEBUG epoch: 31, train_acc: 0.0, val_acc: 3.58, fidel_score: 4.11, acc_loss: 0.0, grad_loss: 18.13285180586803
2022-04-27 07:03:04,119 DEBUG epoch: 32, train_acc: 0.0, val_acc: 5.33, fidel_score: 5.94, acc_loss: 0.0, grad_loss: 18.678728900378264
2022-04-27 07:03:07,562 DEBUG epoch: 33, train_acc: 0.0, val_acc: 2.23, fidel_score: 2.51, acc_loss: 0.0, grad_loss: 18.645125859900364
2022-04-27 07:03:09,921 DEBUG epoch: 34, train_acc: 0.0, val_acc: 3.55, fidel_score: 4.02, acc_loss: 0.0, grad_loss: 18.635396474524388
2022-04-27 07:03:12,884 DEBUG epoch: 35, train_acc: 0.0, val_acc: 3.55, fidel_score: 3.92, acc_loss: 0.0, grad_loss: 18.644157240662395
2022-04-27 07:03:16,215 DEBUG epoch: 36, train_acc: 0.0, val_acc: 3.39, fidel_score: 3.67, acc_loss: 0.0, grad_loss: 18.80736049217514
2022-04-27 07:03:19,331 DEBUG epoch: 37, train_acc: 0.0, val_acc: 2.45, fidel_score: 2.72, acc_loss: 0.0, grad_loss: 18.467973974686636
2022-04-27 07:03:23,398 DEBUG epoch: 38, train_acc: 0.0, val_acc: 3.03, fidel_score: 3.26, acc_loss: 0.0, grad_loss: 18.32264786732348
