2022-04-21 02:01:03,838 DEBUG Namespace(arch='vgg11_bn', attack_client=0, attack_epochs=300, attack_style='GM_option_CIFAR100', average_time=1, batch_size=128, bottleneck_option='None', cutlayer=4, data_proportion=1.0, dataset='cifar10', filename='ace_V2_epoch_vgg11_bn_cutlayer_4_client_1_seed125_dataset_cifar10_lr_0.05_200epoch', folder='saves/baseline', learning_rate=0.05, noniid_ratio=1.0, num_client=1, num_epochs='best', num_query=1000, random_seed=123, regularization='None', regularization_strength=0.0, scheme='V2_epoch', surrogate_arch='same', test_best=True, train_clas_layer=-1.0)
2022-04-21 02:01:07,323 DEBUG Test (client-0):	Loss 0.6165 (0.3623)	Prec@1 81.250 (91.890)
2022-04-21 02:01:07,323 DEBUG  * Prec@1 91.890
2022-04-21 02:01:07,323 DEBUG 24
2022-04-21 02:01:07,324 DEBUG 30
2022-04-21 02:01:07,324 DEBUG surrogate parameter has 38 trainable parameters!
2022-04-21 02:01:10,388 DEBUG epoch: 0, val_acc: 12.27
2022-04-21 02:01:11,370 DEBUG epoch: 1, train_acc: 0.0, val_acc: 12.28, acc_loss: 0.0, grad_loss: 4.033649659156799
2022-04-21 02:01:12,338 DEBUG epoch: 2, train_acc: 0.0, val_acc: 12.3, acc_loss: 0.0, grad_loss: 4.033645749092102
2022-04-21 02:01:13,339 DEBUG epoch: 3, train_acc: 0.0, val_acc: 12.33, acc_loss: 0.0, grad_loss: 4.033640170097351
2022-04-21 02:01:14,314 DEBUG epoch: 4, train_acc: 0.0, val_acc: 12.4, acc_loss: 0.0, grad_loss: 4.033634305000305
2022-04-21 02:01:15,294 DEBUG epoch: 5, train_acc: 0.0, val_acc: 12.44, acc_loss: 0.0, grad_loss: 4.03362889289856
2022-04-21 02:01:16,300 DEBUG epoch: 6, train_acc: 0.0, val_acc: 12.47, acc_loss: 0.0, grad_loss: 4.033623623847961
2022-04-21 02:01:17,279 DEBUG epoch: 7, train_acc: 0.0, val_acc: 12.53, acc_loss: 0.0, grad_loss: 4.033618450164795
2022-04-21 02:01:18,260 DEBUG epoch: 8, train_acc: 0.0, val_acc: 12.55, acc_loss: 0.0, grad_loss: 4.0336141109466555
2022-04-21 02:01:19,225 DEBUG epoch: 9, train_acc: 0.0, val_acc: 12.51, acc_loss: 0.0, grad_loss: 4.033609509468079
2022-04-21 02:01:20,219 DEBUG epoch: 10, train_acc: 0.0, val_acc: 12.55, acc_loss: 0.0, grad_loss: 4.0336051225662235
2022-04-21 02:01:21,195 DEBUG epoch: 11, train_acc: 0.0, val_acc: 12.57, acc_loss: 0.0, grad_loss: 4.033601260185241
